NAME,median_income,per_capita_income,gini_index,pop_below_poverty,total_population,avg_household_size,no_vehicle_households,total_households,total_workers,transit_commuters,bike_commuters,walk_commuters,wfh_commuters,mean_travel_time,state,county,tract,pct_no_vehicle,pct_transit,pct_bike,pct_walk,pct_wfh,pct_poverty,GEOID
Census Tract 6042; Los Angeles County; California,71707,29219.0,0.3762,683,5802,3.48,25,1658,2970,94,26,134,130,2840,06,037,604200,1.5,3.2,0.9,4.5,4.4,11.8,06037604200
Census Tract 6099; Los Angeles County; California,81829,34046.0,0.4285,200,1758,2.44,61,612,781,17,18,15,63,718,06,037,609900,10.0,2.2,2.3,1.9,8.1,11.4,06037609900
Census Tract 6200.01; Los Angeles County; California,155548,83723.0,0.4706,120,4338,2.57,34,1679,2284,53,0,117,474,1810,06,037,620001,2.0,2.3,0.0,5.1,20.8,2.8,06037620001
Census Tract 6200.02; Los Angeles County; California,141081,71811.0,0.4266,223,3637,2.41,43,1505,2059,0,0,70,369,1690,06,037,620002,2.9,0.0,0.0,3.4,17.9,6.1,06037620002
Census Tract 6201.01; Los Angeles County; California,126023,63870.0,0.4197,243,5482,2.58,16,2124,2957,0,0,167,298,2659,06,037,620101,0.8,0.0,0.0,5.6,10.1,4.4,06037620101
Census Tract 6201.02; Los Angeles County; California,144911,83991.0,0.3894,207,3624,2.05,61,1767,2510,0,0,118,1012,1498,06,037,620102,3.5,0.0,0.0,4.7,40.3,5.7,06037620102
Census Tract 6202.01; Los Angeles County; California,156528,126100.0,0.4558,122,1603,1.75,20,916,1081,13,5,11,328,753,06,037,620201,2.2,1.2,0.5,1.0,30.3,7.6,06037620201
Census Tract 6203.01; Los Angeles County; California,216667,104960.0,0.4663,95,4483,2.91,59,1542,1776,16,0,45,461,1315,06,037,620301,3.8,0.9,0.0,2.5,26.0,2.1,06037620301
Census Tract 6203.03; Los Angeles County; California,202454,115163.0,0.5399,271,4934,2.69,38,1829,1893,0,0,73,466,1427,06,037,620303,2.1,0.0,0.0,3.9,24.6,5.5,06037620303
Census Tract 6203.05; Los Angeles County; California,177241,115611.0,0.4766,103,6021,2.62,106,2298,2771,65,0,27,1000,1771,06,037,620305,4.6,2.3,0.0,1.0,36.1,1.7,06037620305
Census Tract 6204; Los Angeles County; California,167404,85948.0,0.4005,57,5156,2.58,0,1995,2126,6,0,19,407,1719,06,037,620400,0.0,0.3,0.0,0.9,19.1,1.1,06037620400
Census Tract 6205.01; Los Angeles County; California,159438,65690.0,0.3397,442,5899,2.77,16,2124,3038,0,0,29,990,2048,06,037,620501,0.8,0.0,0.0,1.0,32.6,7.5,06037620501
Census Tract 6205.21; Los Angeles County; California,112128,63848.0,0.4287,246,4609,2.58,10,1784,2604,4,0,0,777,1827,06,037,620521,0.6,0.2,0.0,0.0,29.8,5.3,06037620521
Census Tract 6205.22; Los Angeles County; California,149875,70623.0,0.3983,235,4748,2.53,135,1873,2513,44,16,25,504,2009,06,037,620522,7.2,1.8,0.6,1.0,20.1,4.9,06037620522
Census Tract 6206.01; Los Angeles County; California,116960,58491.0,0.4096,396,5841,2.62,27,2221,2879,27,36,0,600,2279,06,037,620601,1.2,0.9,1.3,0.0,20.8,6.8,06037620601
Census Tract 6206.02; Los Angeles County; California,150365,69635.0,0.3905,324,5432,2.71,34,2006,2739,0,0,52,477,2262,06,037,620602,1.7,0.0,0.0,1.9,17.4,6.0,06037620602
Census Tract 6207.01; Los Angeles County; California,154306,71260.0,0.4068,219,7651,2.6,29,2941,4398,80,33,93,900,3498,06,037,620701,1.0,1.8,0.8,2.1,20.5,2.9,06037620701
Census Tract 6207.03; Los Angeles County; California,234516,91905.0,0.3318,61,3727,2.97,0,1254,1973,18,0,17,349,1624,06,037,620703,0.0,0.9,0.0,0.9,17.7,1.6,06037620703
Census Tract 6207.04; Los Angeles County; California,182309,76596.0,0.4276,94,3720,3.2,59,1163,1877,0,13,0,476,1401,06,037,620704,5.1,0.0,0.7,0.0,25.4,2.5,06037620704
Census Tract 6208.01; Los Angeles County; California,220400,100354.0,0.4531,166,4019,3.04,0,1318,1635,25,0,68,435,1200,06,037,620801,0.0,1.5,0.0,4.2,26.6,4.1,06037620801
Census Tract 6208.02; Los Angeles County; California,174266,104220.0,0.4209,81,3434,2.53,68,1351,2010,2,0,255,699,1311,06,037,620802,5.0,0.1,0.0,12.7,34.8,2.4,06037620802
Census Tract 6209.01; Los Angeles County; California,242885,129699.0,0.4701,97,2700,2.56,27,1056,1155,13,0,13,493,662,06,037,620901,2.6,1.1,0.0,1.1,42.7,3.6,06037620901
Census Tract 6209.04; Los Angeles County; California,189448,118467.0,0.4707,125,2773,2.53,8,1095,1124,10,0,122,204,920,06,037,620904,0.7,0.9,0.0,10.9,18.1,4.5,06037620904
Census Tract 6210.01; Los Angeles County; California,143981,105901.0,0.5438,393,4575,2.28,194,1998,2140,7,0,60,660,1480,06,037,621001,9.7,0.3,0.0,2.8,30.8,8.6,06037621001
Census Tract 6210.05; Los Angeles County; California,142788,123520.0,0.5193,225,4587,1.9,181,2408,2533,73,24,39,720,1813,06,037,621005,7.5,2.9,0.9,1.5,28.4,4.9,06037621005
Census Tract 6211.02; Los Angeles County; California,199293,107091.0,0.4009,190,3414,2.74,24,1245,1942,7,19,0,474,1468,06,037,621102,1.9,0.4,1.0,0.0,24.4,5.6,06037621102
Census Tract 6211.04; Los Angeles County; California,131063,96057.0,0.4671,319,6975,2.16,178,3231,4142,0,23,193,1191,2951,06,037,621104,5.5,0.0,0.6,4.7,28.8,4.6,06037621104
Census Tract 6212.01; Los Angeles County; California,131014,76579.0,0.4334,410,7601,2.33,69,2980,3694,87,0,14,987,2707,06,037,621201,2.3,2.4,0.0,0.4,26.7,5.4,06037621201
Census Tract 6212.04; Los Angeles County; California,110789,96820.0,0.4565,123,2769,1.57,104,1758,1675,39,0,35,352,1323,06,037,621204,5.9,2.3,0.0,2.1,21.0,4.4,06037621204
Census Tract 6213.01; Los Angeles County; California,110075,67369.0,0.4831,458,7160,2.41,193,2961,3290,9,0,64,830,2460,06,037,621301,6.5,0.3,0.0,1.9,25.2,6.4,06037621301
Census Tract 6213.24; Los Angeles County; California,107480,88448.0,0.4866,395,4027,1.96,55,2036,2479,38,0,0,678,1801,06,037,621324,2.7,1.5,0.0,0.0,27.3,9.8,06037621324
Census Tract 6213.26; Los Angeles County; California,107228,89910.0,0.482,108,3047,1.76,28,1721,1939,39,0,134,546,1393,06,037,621326,1.6,2.0,0.0,6.9,28.2,3.5,06037621326
Census Tract 6214; Los Angeles County; California,140208,69047.0,0.3915,250,4389,2.52,95,1740,2252,11,0,8,323,1929,06,037,621400,5.5,0.5,0.0,0.4,14.3,5.7,06037621400
Census Tract 6500.01; Los Angeles County; California,106301,46263.0,0.4311,827,5807,2.54,122,2243,2800,0,0,0,358,2442,06,037,650001,5.4,0.0,0.0,0.0,12.8,14.2,06037650001
Census Tract 6500.03; Los Angeles County; California,76763,44322.0,0.4866,531,3057,2.58,131,1181,1366,132,65,0,134,1232,06,037,650003,11.1,9.7,4.8,0.0,9.8,17.4,06037650003
Census Tract 6500.04; Los Angeles County; California,95066,42211.0,0.3924,321,4179,2.79,49,1496,2060,42,0,21,276,1784,06,037,650004,3.3,2.0,0.0,1.0,13.4,7.7,06037650004
Census Tract 6501.01; Los Angeles County; California,105417,52434.0,0.4572,449,5532,2.63,143,2079,2471,0,13,31,190,2281,06,037,650101,6.9,0.0,0.5,1.3,7.7,8.1,06037650101
Census Tract 6501.02; Los Angeles County; California,113333,49300.0,0.3653,95,2154,2.94,21,732,1061,16,0,9,161,900,06,037,650102,2.9,1.5,0.0,0.8,15.2,4.4,06037650102
